Name,Author,Year,# of Words,"Parts, if available"
أحبك قد حبك للشطانه والهبال,شهد الفهد ,2015.0,66938,
خاطره صدري يلمك يمكن ينسى سنين عذابك,هتون الغيم,2015.0,135514,
ماضي مرمي بين عقبات السنين,اتالم بصمت,2015.0,73077,
 الريم اللعوب,أمل مذبوح,,13242,
 أما غرام يشرح الصدر طاريه و إلا صدود و عمرنا ما عشقنا,صدود ,,339129,
 أنوثة خيالية بالرغم من الملابس الرجالية,عقد اللؤلؤ المكنون 1,,101567,
 شباب زد رصيدك,المستزلية ,,3945,
 شوفوا الزمن كيف قاسي مخلي راسه براسي,الشوق ذبحني,,86521,
 فتيات المطر ,آنسة حور ,,6692,
 كبرتني يا هم دخيلك قول للدنيا أنا عمري كم !,عطر البنفسج,,31430,
 كبرتني يا هم دخيلك قول للدنيا أنا عمري كم ! 2,عطر البنفسج,,32992,
 لغز الهدية,آلبي دء ,,33706,
 مابيك فارقني عسى الله يخليك قلبي و عودته على حر فرقاك,مجنونتـــه ,,78794,
 مجنون بك واعترف لك صرت مجنونك لا الذنب ذنبي ولا ذنب الهوا ذنبك,خجولة المبسم,,6738,
 و يبقى خالد,sweet memy,,115980,
 وشلون تهملني وأنا مهتم فيك هذا السؤال اللي ذبحني جوابه,بنت الشريقيه وشفايف ورديه ,,48845,
15 فتاه لاتستطيع نسيان عنوان وهو اروع لحظات ,لا للحب لك ,,979,
99 كذبه لا تكفي ! لادافع عنك ؟ أكمل آخر كذبه !,,,64622,
ابوها وامها واخوانها أغرب عائلة سعودية في معاملتهم لبنتهم واختهم,,,6211,
ابوي لو صد عني ما ترجيته,,,142062,
ابوي لو صد عني ما ترجيته,,,142062,
ابي أنام بحضنك واصحيك بنص الليل و اقول ما كفاني حضنك ضمني لك حيل,ازهار الليل,,139379,
ابيك في دروب المحبه تخاويني,الدكتوره غاده ,,105650,
احاول ان اعلم قلبي ان لا يرغب في شيء لا يستطيع امتلاكه,جوري الياسي,,12010,
احبها ولكن,,,12098,
احلام ورديه ياحبيبي تصحى وتلقاني قدامك يارب تحقق احلامك,,,22714,
اداعبك بحناني,ملوكة,,122912,
اداعبـــــــــك بحناني,ملوكه,,122912,
اسيرة البدر,لورينا قطر,,74361,
اشتقت لك لين صارت بي منك لمحات,,,124529,
اطلالي ملت وقوفي,ام الظفاير,,118755,
اغلى ناسي,حلا ,,174915,
اغلــى نــآسي,,,175640,
اكبر غنى من كان عنده احساس واكبر فقير اللي بلا حس عايش,,,26485,
الأمل ,جنية إن ذى قوطي,,19407,
البوم صور,نور نجدي,,34215,
التبل ,ترنيمه عشق,,122730,
الجميلة و الوحش,Elsa Maria ,,28626,
الجو بارد و أبي حبك يدفيني كلمة أحبك بهذا البرد تكفيني,,,45912,
الجوري و فيصل,kale dal3,,73109,
الحب الأعظم,خلف السحاب ,,149848,
الحب البعيد,Beautifulgirl-23,,10873,
الحب المتأخر,عايشة بغدر الزمان,,10550,
الحب ما يرحم سلاطين و ملوك كيف يرحمني و أنا إنسان عادي,اســــــــيرة الغـــــــربيـه,,19888,
الحب واجد مير الاقدار صدفه و الأرض واجد لكن الحلم منفى,أوتار قيثارة,,86698,
الحديقة السرية,اهتمآم ورده,,67932,
الحديقة السرية 2,اهتمآم ورده,,80465,
الحزن توأم روحي,الحزن توأم روحي,,51272,
الخوف من الحب,,,157159,
الخوف من الحب,,,156069,
الدفتر الاحمر,حمام الحجاز,,77806,
الدمع من عيني مترضفا ع الخدين ولا لقى مسعافي,Desert Rose,,47909,
الدنيا قاسية,طيبة القلب,,96603,
الدنيا مشاغل وحبك وحده شغلني,,,17542,
الرباعي المرح شلة الوناس,بنت الخزاعي ,,56281,
الشمس العمياء,,,24264,
العـرس حلم يرآود كل فتآة,,,21897,
العروس المتمردة,جوليا جيمس,,17393,
العشق الممنوع,بنوتة أسمرة,,142459,
الغريبه,غيوم الشوق ,,74271,
الغزال الشمالي ,غير معروفة,,24692,
الفتاة الهاربة,ReReZ,,48398,
القرار الصعب,,,22524,
القسمة والنصيب .. خيانتي,لا أريد مجاملة,,25771,
القلب ما هو لعبة بيدينك يا فلان,ألم إنسان,,39524,
الله يسعد شخص ساكن بي هنا,weaam ,,19810,
اللي يبينا عيت النفس تبيه واللي نبيه عيا البخت لاا يجيبه,,,128198,
الليالي الطويلة,,,51975,
المتشردة,بنوووتة كيوووتـ,,73985,
المشاغبين الخمسة,لمو كول,,16263,
الموت ما هو أنك تكتفن بترابك الموت أنك تحب حي ويفارقك,Karisa,,251947,
الموت ما هو أنك تكتفن بترابك الموت أنك تحب حي ويفارقك 2,Karisa,,185825,
الهوى غلاب و أمر الله غالب,العازفه الحزينه,,36288,
الواقع المؤلم,نبض قلبي أنت ,,3944,
الورطة ,عروسة السماء,,33545,
الورطة 2,البرق الرومانسي,,28404,
الوصية التي قلبت حياتي,شغوف,,49665,
الوليد وريم,,,56680,
اليتيمة,هاردلك ياقلبي,,33231,
اموت واحيا بك,,,112238,
انا حر ما أنهان و الحر ما يرجع لشخص يهينه,معاني كامله,,192984,
انتحار الاحلام اخر اليل,فتاة بلا الم,,131523,
انتقام مي,lolo111,,22369,
انثى بهيئة رجل,miss cafe,,76103,
اهـ من قلب غدآ حبه جنوني,,,184842,
آآه يالدنيا عيال عم ولا يتعارفون,نفسي عزيزة,,139965,
آحبك ياعذآبي,,,26089,
آحبك يانونا,نونا,,16314,
آذان مثقوبه لنيشان الخطوبة,ترجيه شذر,,36766,
آسف على الجروح بودعك بمشي وأروح ما أقدر أجامل خاطري والدمع يسكن ناظري,اسمي شموخي,,152637,
آكرهك ولازلت آحبك,,,31462,
آم الجماجم وحب في المقابر,,,54500,
آنا وزوجي,,,19681,
آنتفض قلبي بغزآل منصوري,منطوق قلبي,,90914,
آه لو أحبتني,قمر جنها,,27796,
آه من قلب (ن) غدا حبه جنوني,,,63377,
آه من قلب (ن) غدا حبه جنوني 2,,,121699,
آه هذا الحب جمرة من لظآه انا اكتويت,همت بهــــــــــواك ,,79361,
آه هذا الحب جمرة من لظآه انا اكتويت 2,همت بهــــــــــواك ,,111875,
آه هذا الحب جمرة من لظآه انا اكتويت 3,همت بهــــــــــواك ,,142388,
آه يا دنيا,آحاسيس مبعثره,,41574,
آه يادينا عيال عم ولا يتعارفون,نفسي عزيزة,,142086,
آهات جروح حزينة ,لوحة خواطر فنان ,,82406,
أُقسم قسم لأدوس قلبك بلقدم,,,39077,
أبد ما جيت أباركلك و لكن جيت بأوصيك,عاشقة القصيد,,31536,
أبرياء حتى تثبت إدانتهم,حُلمْ عناقه مع السماء,,100923,
أبرياء حتى تثبت إدانتهم 2,حُلمْ عناقه مع السماء,,127420,
أبرياء حتى تثبت إدانتهم 3,حُلمْ عناقه مع السماء,,109390,
أبصرخ بكل مافيني يا ناس مجنون فيها,مدآوية الجرح ,,18372,
أبغى تكون إنت داري و أنا دارك و أوعدك ما أخذلك ,آوتـار الأمل أو اذكر الله ياخفوقي,,14024,
أبوي جبرني فيك و كسر عنادي بس ما دريت إنك صرت كل هلي و ناسي,الهمس الخافت ,,69345,
أبي حبك معي يكبر,عاشقة الزهراني,,12095,
أحباب أموات,voxal_130,,23962,
أحباب في مقبرة الحب,دجه ورجه وفله,,89152,
أحبك بس مكتوب تكون لغيري,only shoody,,26279,
أحبك حب ماينتهي عشقك ابد وأبيك قلب مايسكنه غيري أحد,Letk M3y,,74389,
أحبك لعن إبو حظٍ جمعني فيك,حكاية روح مجنونة ,,51589,
أحبك لين تنزلني أيادي الناس في قبري,كيفي عنيدة ,,21561,
أحبيني أحبيني و إذا تركتك أكرهيني بكل ما فيني,نرجسيه,,68305,
أحتاجلك إذا ضيق الوقت صدري,أنفاس الحب ,,160217,
أحس بخنجر الألم يسولف للضلوع,α7lα αηηỗ,,22160,
أحقاد تحت الرماد,ALJeNeRaL,,105346,
أحلام المحامية,مصفقة عيال الحارة ,,29111,
أحلام مجتمع,بنت تبوك ,,35964,
أحلى حيـــاة عشناها,الجوري عبدالله,,23700,
أحلى صدفه في حياتي,بقايا شتات,,37546,
أحلى صدفه في حياتي 2,بقايا شتات,,67716,
أحلى صدفه في حياتي 3,بقايا شتات,,89395,
أحلى ما خلق ربي,,,82612,
أخذتي عقلي من النظرة الأولى ,نرجس الجنوب  ,,31110,
أخذيني مابيني,,,59593,
أسرار العيون,sweet moon ,,236183,
أسطورة القسوه و الحب إذا هذا معي طبعك أجل وش حال أغرابك,unique ksa,,46544,
أسطورة القسوه و الحب إذا هذا معي طبعك أجل وش حال أغرابك 2,unique ksa,,70137,
أسيرا الوهم,قلب الجبل ,,55259,
أشتاق لك شوق له الشوق يشتاق شوق يشوق شايق الشوق شوقه,,,47528,
أشكي للي بين ضلوعي,وزو,,125914,
أشكي للي بين ضلوعي,وزو,,125914,
أشكي للي بين ضلوعي 2,وزو,,12191,
أشكي للي بين ضلوعي 2,وزو,,12191,
أصعب دروس عمري,لحظة غرام,,94477,
أصوات قلوب صادقة,وردة الإسلام ,,17948,
أضمك وين من حسادي و أحميك .. حبيبي بقلبي لو بعيوني أخليك,جولي,,37109,
أضمك وين من حسادي و أحميك .. حبيبي بقلبي لو بعيوني أخليك 2,جولي,,53030,
أطياف الغرام,معاميريا,,146376,
أعترفلك حبك غلطة حياتي,,,8573,
أعد لي هويتي,أنجال,,162187,
أعذريني لو قسى قلبي عليك,مما خطت يداي,,38390,
أعذريني ياغرام لو حصل مني قصور,رجا الأوهام ,,63076,
أعشق ترابك أموت في أنفاسك,زهرة الليلاس ,,282143,
أعشقك .. أحبك .. والهوى صار عنواني,razan_97,,50780,
أعشقه و هو في دنيتي الجنه و صعب أنساه لأني نسيت أنساه,Karisa,,147893,
أعطني حريتي أطلق يديا,ام وسن,,111804,
أغلى غرامي أميري,يلوموني فيك,,51005,
أفهم ترانا لا يقين لبعضنا كنك نهائي الكأس وأنا هلالي,لاحد يزعل السوري,,106015,
أكابر و أقول فراقه عادي و أنا في داخلي أصرخ تكفون جيبوه,اشتقتلك مووت,,94657,
أكابر و أقول فراقه عادي و أنا في داخلي أصرخ تكفون جيبوه 2,اشتقتلك مووت,,64192,
ألا ليت الزمان يعود,شبيهة امي,,37123,
ألا ليت القدر,بقايا شتات,,58604,
ألا ليت القدر 2,بقايا شتات,,69709,
ألا ليت القدر 3,بقايا شتات,,51057,
ألاقيها أنا من وين منك ولا من دنياك إنت والجروح إثنين,Beautifulgirl-23,,17029,
أم البنات,مناوي والقلب ضاوي,,46235,
أمانة لا تطلع حرارة أنفاسك بحضن غيري,Sandra-kas,,80503,
أمجد و ميادة,خالد أبو الشامات,,11554,
أمل موعوود,الســــــديم,,47697,
أنا الرصاصة الوحيده التي سألة ضحيتها كيف تريد أن تموت في حبي,معشوقه بلا قلب,,59766,
أنا الشموخ ومارضيت البهاذيل كسرت خشم الناس من قو ذاتي,ظميانة عشقه ,,98664,
أنا الشموخ ومارضيت البهاذيل كسرت خشم الناس من قو ذاتي 2,ظميانة عشقه ,,100686,
أنا الشموخ ومارضيت البهاذيل كسرت خشم الناس من قو ذاتي 3,ظميانة عشقه ,,86398,
أنا الضحية و أنا الجلاد,عذبة العذوب,,78831,
أنا الضحية و أنا الجلاد 2,عذبة العذوب,,77724,
أنا العاشق,غريب الدهر ,,13998,
أنا آسف حبيبي ماكان قصدي أختارك لي حبيب لكن أنت تعرف الحب صدف ,Badroooshi,,41222,
أنا أنثى لا يقف المستحيل أمامها,أنآت الرحيل,,103851,
أنا أنثى لا يقف المستحيل أمامها 2,أنآت الرحيل,,107325,
أنا إخترت الفراق و ما دريت إن الفراق وصال أقول إني نسيتك بس مدري كيف توصلني,أَشْرِق بِإبْتِسآمَ ـة أو Dя.Ghofran,,41386,
أنا بنت فيني رجوله خلت كل البنات من حولي يستحون ,Akos nona,,51812,
أنا شوقي يزيد هيام كثر ما روحي عشقانة و أنا من راسي للأقدام مشاعر حب عطشانة,نوني أل نوني,,31180,
أنا قلبي مثل قبري ما يضم إثنين,عيونك دنيتي ,,51297,
أنــا لــك,سحابة مطر,,60872,
أنا ما أبا ذهب ما أبا ألماس و ما أبا بعد قلبي,أحلى قلم,,43050,
أناس في غيبوبة,ام العيون العسلية,,122783,
أنت الوحيد اللي ما سكن في القلب غيرك,أعشق هبالي ,,17778,
أنطفيت ورحت في وقت المغيب,,,171785,
أنفاس الطابق الأخير,القمر كله,,3267,
أنين ، كره ، إنتقام ، حب ، نهاية مجهولة ... لعبة الشطرنج,قلب امي وروحها,,41576,
أنين نساء,مطنوخة حدي ,,84238,
أهلي كلهم بأمريكا و أنا بقيت هنا وحدي !,عزة نفس/بدون ضمير/ملكة الأحساس,,55784,
أوراق الماضي,إيمليا أمل ,,41664,
أوفى الخلق,Yazεεd ,,22607,
أول إنسان أحبه ,همس العاشق ,,60852,
أيام من حياتي,غفران,,112745,
أيامنا الحلوة,شبيهة امي,,42834,
إبن عمي بالرضاعة,shamiyeh ,,94289,
إحساسي غريب,همسات ألم ,,36644,
إذا قصدك تهين إسمي عشان تشمت العذال,امير العشاقق ,,34760,
إرادة رجل,قلب الجبل,,58832,
إستهبال و رجة شباب و بنات,دلوعة في هواها والاميرة الهلاليه,,36537,
إسمحيلي من النظرة الأولى و كوني أم أولادي,لفانتا,,77189,
إشتقت لك حبيبي ضمني لصدرك وقلي أحبك !,مشاعر انثى,,60744,
إفهم انك تموت وما تثير إهتمامي,إنسكاب الجاذبيه,,73844,
إقترب مني ترى الدنيا فرص و خذ من شوقي إذا شوقك نقص,جنان حبك ,,16669,
إكتساها الخجل يوم قلت لها أحبك,جرحني وصار معشوقي,,89226,
إلا فراقك,h.m,,28736,
إما شيطان أو شخص مهـزوز الـكيان,,,195778,
إن كان تقدر تعيش العمر من دوني حط عينك بعيني و قول و الله !,وديمه,,21152,
إنت تدري البنت لا عشقت وش ممكن يصير,راما الدلوعة  ,,440696,
إنت قلبي و أنا أحبك,,,40421,
إنت كافي,أميرة بشمووخي ,,15599,
إنتقام و غرام,بنوته بنكهة الفراوله,,25054,
إنتي نظر عيني دامك معايا,قلبي بيتك,,34545,
إنسو إيمان فإنها لن تعود,,,107857,
إنها عيونك التي لا تخون,ألحان الناي,,39377,
إهزمتني ببرائتها,قحطوطه,,50743,
باع حبي و تركني,جروح فتاة ,,21368,
باعوني برخيص,,,20751,
بالهداوه يا دوا المشتاق خذني بالهداوه,,,136624,
ببتعد عنك وبترك هالطريق دام هذي رغبتك حقك معاك,جرحي يثابر ,,56399,
بتوحشني,,,36690,
بحر حبي,حبيبة أمها,,89347,
بداية حبنا غلطة,لارا الأمورة ,,42662,
بدر سامحني,بائعة الزهور,,43219,
بدموع الحزن بسماتي,زهرة القمر ,,30374,
بدون اسم,,,18225,
برائتك يا أبوي أنا بطلعها,وحشني غيابك,,33766,
برد وجفا ونسمة هوى 2,وصيت قلبي عليك ,,77097,
بردان ياحضن الدفا عطشان واظماني الجفا,مشاعل السعودية,,297466,
بردان ياحضن الدفا عطشان واظماني الجفا 2,مشاعل السعودية,,173208,
بزوغ فجر,,,68210,
بس تكفيني كلمة أحبك,احلى بنوتة(عايشه),,37376,
بسمة العمر الجرح,سما,,172298,
بسمة قدر جمعتنا و حقد البشر فرقنا,,,19477,
بشرة الحب,مشاعر,,23814,
بشـــروه إنــي أبـرحـل,,,100017,
بصدري وجع كنت أحسبه نام يا صدري 2,وحيدة و أهلي كثيرين,,72583,
بصدري وجع كنت أحسبه نام يا صدري 3,وحيدة و أهلي كثيرين,,88687,
بضمك ضمة التايه عـن العالم و هو غفيان,,,7127,
بعثرة ألم وعناق أمل,عنتريهر,,3663,
بعثرت الاوراق في لندن,موادع 1,,18839,
بعد الغياب,أنفاس_قطر,,43830,
بعد الغياب 2,أنفاس_قطر,,142145,
بعض العيون حقدها في نظرها,جسار الراسي,,103189,
بعض العيون حقدها في نظرها 2,جسار الراسي,,108722,
بعض العيون حقدها في نظرها 3,جسار الراسي,,104178,
بعض المواقف تجي و تروح ماتبقى و بعض المواقف صداها بالعمر باقي,زهور اللافندر,,117651,
بعلمك درس يفيدك ويحييك,بنات افكارى ,,109371,
بعيد عن الواقع,trf,,34725,
بعيد عن الواقع 2,trf,,56862,
بقايا أنثى مجروحة,سحر الإحساس,,44149,
بقايا روحي,ملكة الليل ,,37136,
بـقول ولاتقــآطعنـي,عاد انا اللي احبكـ,,85065,
بكت شمس الزمان اللي طواها اليأس بأسبابك,الخيـ666ـالة ,,113945,
بلا رقيب,عاشقة ديرتها,,332173,
بلقاك صدفة عابرة وأتعداك وأقول يشبه واحدٍ كان غالي,آآعشق هبآآلي ,,32359,
بنات افكــآري,,,122969,
بنات التجار وما لاتعلمون,تالين ,,18364,
بنات السفير,بنت السعودية,,149977,
بنات السفير 2,بنت السعودية,,177468,
بنات خالات دجه رجه,بحار الصمت,,18211,
بنات رجه بس بالاناقه رزه انواع الاستهبال والرجه والدجه والاستهتار رومنسيه,تميميه وافتخر,,59382,
بنات في الإنترنت,,,59136,
بنبقى و الزمن شاهد حبايب قلبنا واحد,eman hasan,,139781,
بنت الجيران ,,,32599,
بنت الشامية,نبض القصيم ,,116071,
بنت بمظهر ولد ! ,اكووس نونا ,,32306,
بنت بمظهر ولد ! 2,اكووس نونا ,,21755,
بنيت لك في داخل فؤادي من اللهفة قصر,سميتكم غلآي ,,43830,
بيت العنكبوت,أمي روحي,,128541,
بيت العنكبوت 2,أمي روحي,,134859,
بيتنا الطين,غيوم الشوق,,74744,
بين الأمس واليوم ,أنفاس قطر,,119518,
بين الأمس واليوم 2,أنفاس قطر,,150619,
بين الأمس واليوم 3,أنفاس قطر,,131185,
بين الأمس واليوم 4,أنفاس قطر,,116314,
بين أحقاد الماضي عشقا لاينتهي,,,105603,
بين بوظبي و جدة مسافة قلبين,مريم العصري,,7315,
بيــن ثنــايــا الأيــام ,صاحبة الكلمة,,128420,
بين قلبين حب أعمى,قهرتني ,,92077,
تؤام روحي تعاني جروحي,كحيلة بكاها,,48232,
تؤام في غربة تؤام في ضلمه,XoxO ,,8259,
تؤام و لكن,عاشقة الرواايات ,,10027,
تبي تشوف الذل في صورته صح ، شف دمعه الفرقى على خد رجال,,,79001,
تبي تنسي أولادك أوجاعهم تزيد الهم ع غمهم,الشموخ,,27374,
تحت أمطار الشتاء,دقات,,5548,
تحسبني بموت لو شفتك مع غيري خون ياحبيبي خون وأنا معك خوان,كيف تخفي حبنا وشوق فاضح  ,,92648,
تحمل جنوني وضمني حيل لصدرك,شايفة نفسي ويحق لي ,,126386,
تحملت التعب لأجلك وأنا حملى يهد جبال,مصفقه عيال الحاره,,26194,
تحملت اللي يقولونه و قلت لخاطر عيونه .. و لا قدّر أبد طيبي تفنن هو بتعذيبي,دنيآه دنيآ غيرت حآلي دنيآه دنيآ غيرت حآلي,,54463,
تحملت اللي يقولونه و قلت لخاطر عيونه .. و لا قدّر أبد طيبي تفنن هو بتعذيبي 2,دنيآه دنيآ غيرت حآلي دنيآه دنيآ غيرت حآلي,,25212,
تحملت كثير يا قلبي,جنون الشوق,,209732,
تحملت كثير يا قلبي 2,جنون الشوق,,78272,
تحياتي لمن دمر حياتي,,,49203,
تدرِي وش هو القرِف ؟ خاين و يحلف بالشرِف !,سيلينا,,22764,
تدري وش أحلى شي بالدنيا إنسان لاشدك ولمك بحظنه تدمع عيونك من قوة حنانه,إنكسآر ,,32161,
تراب الندم,"الكاتباات""جروح غامضه+ظلمني بغلاته+Crazy-lovey",,98003,
تركت الأمر لله و جمعني ربي به,بنت البدو,,60778,
ترى مصدوم من بعدك و لا قادر أحب ثاني,أسطورة النشيد& دموع التماسيح ,,107019,
تـــشـــرد ,Mero0oh,,37263,
تصدقون زميلتي طلعت ولد,,,17298,
تضحية الأخت الأم,بشروني شمرية ,,28151,
تعبت أشكي ,وصيت قلبي عليك,,90897,
تعلمت أن أحترم مشاعرك لكن لا أثق فيها,الحان الناي,,47769,
تفرقنا سنين وماجمعنا غير الجرح و ليت الجرح بعد قربه تعدانا,لاتغرك الضحكه ,,87336,
تكفى ياولد الأجواد علمني منو أبوي ومنو أمي,غلطان يا معاندني,,101924,
تكفين لاتخليني,كوثر الأسود  ,,73721,
تلاشت قواي بين يديك,,,15151,
تلاشت قواي بين يديك 2,,,61532,
تناديني سيدي,,,38618,
توأم فلة,بَغيت اَنساك ماقدرت ,,60012,
توأم و كل وحده فينا لها قصه حتى بقصصنا نتشابه,عآشقه نفسهآ,,79246,
توأم و لكن أغراب في الجامعة الأمريكية,فيرزاتشي,,114710,
توأم و لكن أغراب في الجامعة الأمريكية 2,فيرزاتشي,,108863,
توأم و لكن أغراب في الجامعة الأمريكية 3,فيرزاتشي,,102069,
توأمتان بثوب وعقال,BO7A B,,59127,
توأمي لكن أنا غير و مالي مثيل و راسي عنيدة,قلب امي وروحها,,76085,
توأمي لكن أنا غير و مالي مثيل و راسي عنيدة 2,قلب امي وروحها,,77877,
تيارات الحب,OmanI-CooL ,,82383,
ثرثرة أرواح متوجعة,ضمني بين الاهداب,,138148,
ثرثرة أرواح متوجعة 2,ضمني بين الاهداب,,138811,
ثقيله مزحة الدنيا,,,65018,
ثقيله مزحة الدنيا 2,,,63002,
ثقيله مزحة الدنيا 3,,,53185,
ثلاث سنين من شقى عمـري,ورد مجروح,,108707,
ثلاث سنين من شقى عمـري 2,ورد مجروح,,58897,
جبتها على الجرح,امنيه حنيني ,,11621,
جبروني عليها وكرهتها وفجأه حبيتها وعشقتها,آهات مبعثرة ,,49704,
جرحني وسماني عديم إحساس,Ms.hajar,,16807,
جرحني وصار معشوقي,رسمتك حلم,,136317,
جرحي عميق و قلبي في دمه غريق,,,19724,
جروح البنات,,,16715,
جروح بدون سبب,هنودة ,,29028,
جروح قلبي,أميرة الورد,,50427,
جروح من عبق الماضي,kesat 3thap,,287671,
جروحي تنزف احزاني,,,123403,
جسد نورة بلا روح,ابيك مابيهم,,9750,
جمعتنا الصدف و فرقنا القدر بس,الاليت القدر ,,172358,
جمعية نسائية,سحابة نقية,,81775,
جنون ,ذبحني غلاها ,,28311,
جنون الحب,مجنونة حب,,111722,
جواهر,,,125431,
جوهر حضورك أعلن ميلاد قلبي,سميتكم غلاي,,101211,
جيت أبعقل أنا و أختي قال لنا الطيش بدري,هَجُورْ آلسُبِيعِيْ ,,27299,
جيت لك عاشق,ثرثره صامته,,15750,
جيت وش جابك حبيبي من بعد طول المغيبِ و إلا ناوي ياحبيبي تغرق الغرقان أكثر,الاميره الهلاليه & دلوعه في هواها ,,31943,
جيش حبك في الحشا سوى حشودي وعسكر بالفؤاد ورماني ضحية,غرشوب أبوظبي,,93568,
حــالة عـشــق,هذيان صمت,,217981,
حب على هامش الطفوله,,,5936,
حب في الجمس,,,88347,
حب في أقل من 72 ساعة,,,22884,
حب في وقت الفراغ,الشاعر مرتاح بدونك,,4682,
حب لاينتهي ,فراشة فوشية ,,7565,
حب لم و لن تكتمل,,,8548,
حبايب طول العمر,زهرة النوير,,10774,
حبك يا ولد عمي خيال و إني أسيبك يبقى محال,متعبن قلبي ,,200594,
حبه بصدري سالفه سر في بير,عمانيه وأفتخر,,42357,
حبها معلقني وصوتها يدوخني وعيونها تجذبني ياناس الحلو بيذبحني,GroOo7 Ma5feah,,54108,
حبي الأول و الأخير,,,41857,
حبي لها خلقه الله كبير,,,6315,
حبي هم اليوم و ماضيّا دمعة عين,هيمو ,,47948,
حبي وكبريائي,جنيه إن ذى قوطــــــي ,,71437,
حبيب الحب : خالد و نوره,مـــنـــيــــرة خـــالــــد ,,28560,
حبيبتي اسم على مسمى,جنة الفردوس,,71707,
حبيبي المقنع,الحنان الخالد ,,56692,
حبيبي أنت نبض قلبي اللي ماينبض الا بهواك,مشاعر انثى,,19036,
حبيبي قبل فرقاك أحفر لي قبري بيدينك حضن القبر أهون من حضن غيرك,حلاتـــ برمشتى ـــى ,,27244,
حبيبي لايبكيك الفراق ولا يهد حيلك أخاف الدمع من عينك يجفف صورتي ببالك,سجينة الأحزان,,58449,
حبيبي مغرور و أعشقه لحد الجنون,لفانتا,,68730,
حبيبي يمون داخل العيون,خرافية,,45808,
حبيتني غصب عنك مثل ما غصب عني حبيتك,بنت الثانويه,,33275,
حرام أحد يحبك !,الامل,,17821,
حسايف تذبل الضحكه وهي بين الشفايف,,,273048,
حسبتك عديم الاحساس و صرت كل احساسي,,,92720,
حسبتك عديم الاحساس و صرت كل احساسي 2,,,105596,
حسبي عليك حتى شبيه أسمك أفز له,آآآعشق هبآآآلي ,,52078,
حط إيدك بإيدي خلني أعرق دفا ، ضمني لين تسمع لضلوعي ونين,عنادي النادر يميزني & تعبت أشتاق ,,25767,
حط يدك على قلبي وأمسح دموعي,روح بلا أمل ,,75518,
حطموك يا قلبي,ملاكو الدلوعة ,,29296,
حظي المنسـدح,,,19523,
حقوق العشق محفوظة,مهجه فهد_ يسرا محمد,,162719,
حكم القدر,,,22718,
حلالي و حر فيها,Miss Alucard16 ,,27503,
حلم الطفولة,لا ارى عيبا كوني معاق,,23042,
حلمت بلقياك بعد ماطال الغياب,حطموك ياقلبي,,51666,30.0
حنايا,حنايا,,52077,
حنيتك راحت لوين و شفيك ما تشتاق لي,ملتفت صوبك لوعينك تهل دم,,108062,
حياتي راح أظل أحبك لأخر ثانية بحياتي,شقأإأوهـ,,48429,
حياتي عذاب,تكفيني العبرة,,126560,
حياتي قصيدة هو شاعرها,Majeed lover ,,114444,
حينما تعوي الذئاب,هناء الوكيلي,,49698,
خاتم في أصابع رجال,Nonaz,,100062,
خادمة على عرش الثراء,,,19740,
خادمة في زمن الغربة,تولين ,,43394,
خان ويحسبني أخون,الدمع حبر العيون ,,15513,
خايف يا قلبي خايف,,,133105,
خبر عقلك إنك متربع وسط القلب,بنت ناس قلبها ألماس ,,41808,
خبيني,نبضـة شـوق + wrod + صـوت الدفـا ,,62319,
خجولة أمامك,مشاعر,,11867,
خذني على قد عقلي ,سراب العين,,147613,
خذني في حضنك أبغفى,كرهتك حبيبي ,,23885,
خطاي إني وفيت و ما عرفت ألعب على حبلين,غموض الورد,,89850,
خطاي إني وفيت و ما عرفت ألعب على حبلين 2,غموض الورد,,87614,
خطاي إني وفيــت وأنت للجفا عنــوان,,,64410,
خطوات غامضة ( حكايات الماضي ),رعشة شوق+رنو+الفرآشة,,93183,
خطوات لثمتها أفواه شيطانية,هذيان ,,175922,
خفايا الدنيا,bintaboha,,133223,
خفايا الماضي,غلا انسانهـ,,9582,
خل إيدك بالعشق تحضن إيديني,,,39279,
خلك على خبري كما ريحة العود,عيون بدوية,,102760,
خنجر وأحسه بين الأضلاع..لاهو ذبحني ولا هو اللي قويته,,,5641,
دانة ونواف,بائعة الورود ,,12282,
دآويتهم وجرحوني عبدالله ومنى,,,69372,
دفنت الذكريات,"دريمز,R ",,88283,
دموع أسقطت حصون القصور,فيرونا العاشقة,,212465,
دموع رجال معاريس,صرخة وفا,,66511,17.0
دنيا غريبة,نجديه اصليه,,114466,
دنيتي تحلى بوجودك,golden apple,,186258,
دنيتي و هي دنيتي مني إكتفت,بنت نجد,,40888,
ذات الوجه الدميم,,,77080,
ذكريات المراهقة,noufy.1999,,93618,
ذكريات على حافة النسيان(ملاك رعد) ,متكحله بدماء جروحها ,,137162,
ذكريات مفقودة تحت المراقبة لعبة على أرض الواقع,HeEeMoO ,,51120,
ذيل الجنيه,,,123738,
رائحة الموت,عبدالله ناصر الداوود ,,8533,
راح أغار عليك في غيابي يا حبيبي,ردلي احساسي أمانة ,,14034,
راحت روحي من محجر عيوني,معاني,,29815,
رايتي السوداء إلى متى سترفرفين,دمعـــــة شوق ,,34799,
رايتي السوداء إلى متى سترفرفين 2,دمعـــــة شوق ,,36426,
رباعي الحب,عقود الوله ,,98351,
ربيع عمري,فيلسوفة زماني,,150297,
